med,low_95,high_95,age,age_bins_mid
0.08823529411764706,0.04711555975757314,0.15924458553951418,1,0.5
0.16216216216216217,0.11601529466071957,0.22205378836469758,2,1.5
0.18134715025906736,0.13338141597398628,0.24175022175664768,3,2.5
0.319047619047619,0.259741333174437,0.3848551804336845,4,3.5
0.26737967914438504,0.20909416469237868,0.33503004952387716,5,4.5
0.31868131868131866,0.2553314041356554,0.38952717360679034,6,5.5
0.34328358208955223,0.2682672592868976,0.4270348627355186,7,6.5
0.4067796610169492,0.32244480291963507,0.4969926840167622,8,7.5
0.372972972972973,0.3065352652739824,0.4445787099435745,9,8.5
