med,low_95,high_95,age,age_bins_mid
0.007462686567164179,0.0013185643538405375,0.0410595334308961,1,0.5
0.025210084033613446,0.011604083050170326,0.05389940381243284,2,1.5
0.026785714285714284,0.012332698500849159,0.05719573106016844,3,2.5
0.020833333333333332,0.00893079611463017,0.04783337716269702,4,3.5
0.03888888888888889,0.018963292190413965,0.07808477811507361,5,4.5
0.05714285714285714,0.03133165260431781,0.10197892861050831,6,5.5
0.0547945205479452,0.028023676605756102,0.10439267182580285,7,6.5
0.064,0.0327835795958678,0.12121544371779286,8,7.5
0.08904109589041095,0.05277427149060862,0.14637928090775348,9,8.5
