med,low_95,high_95,age,age_bins_mid
0.007407407407407408,0.0013087882462745083,0.04076408300062039,1,0.5
0.006060606060606061,0.001070648118628814,0.03352665316918832,2,1.5
0.025477707006369428,0.00995139104222022,0.06367054019066526,3,2.5
0.020689655172413793,0.007060912231321715,0.059059501386431804,4,3.5
0.03076923076923077,0.014176572368017197,0.06549221961655181,5,4.5
0.06329113924050633,0.03473843819243329,0.11257522911149491,6,5.5
0.05202312138728324,0.02760783038362032,0.09590087038343205,7,6.5
0.10714285714285714,0.06601211700813191,0.16925704042497827,8,7.5
0.07751937984496124,0.04264977476418617,0.1368232529513156,9,8.5
