medest,high95_est,low95_est,rownum,age_seq
0,0,0,1,0
0.0014132865846404143,0.002181824408697417,9.661210809165936e-4,2,0.2
0.0028091589234064207,0.00427526925255317,0.001924656479381268,3,0.4
0.004174765173138121,0.006283917983619703,0.002878901975966558,4,0.6000000000000001
0.005519415782943737,0.00821120861887837,0.00382781910585438,5,0.8
0.006854331820607437,0.01010603611297839,0.004771452434508972,6,1
0.00817315602980695,0.011959808330414597,0.005709659754975857,7,1.2000000000000002
0.009477922373195958,0.013706176771342723,0.006641525972232571,8,1.4000000000000001
0.010735103210152546,0.015469913310887769,0.007567879430088889,9,1.6
0.011974779923433541,0.0170984240167914,0.00847590827719754,10,1.8
0.013239532631531922,0.018648310542455013,0.0093540297852121,11,2
0.014459225852554467,0.020154103474976766,0.010220118743314178,12,2.2
0.015631438220833446,0.021630625216587332,0.011108489256447661,13,2.4000000000000004
0.016809857332931097,0.02313409166806634,0.011995963677952564,14,2.6
0.017993601460834674,0.024531310260844465,0.012877780885755006,15,2.8000000000000003
0.01909246705944498,0.025909183677438583,0.013753987393753782,16,3
0.020193927014931612,0.02730039047936476,0.014606731946683533,17,3.2
0.02121574120628377,0.02862504532759093,0.01539058501273561,18,3.4000000000000004
0.022325840093558202,0.030033912530127445,0.016156036310936057,19,3.6
0.023320941286681537,0.03155887666049421,0.016980933607565654,20,3.8000000000000003
0.02441129847671545,0.033069651424941275,0.01779825235450946,21,4
0.02538772205657798,0.03450515715745305,0.018607966734060025,22,4.2
0.026420151625338152,0.0359506022275701,0.019410536043509497,23,4.4
0.02737400661118524,0.03725301115811348,0.020189650755911934,24,4.6000000000000005
0.028408233208397644,0.03850394328934938,0.02091576988886041,25,4.800000000000001
0.029495662827204526,0.039602757544213954,0.021708127425980255,26,5
0.030465739317562954,0.04079255838576781,0.022503558628308516,27,5.2
0.03137902241599281,0.04217956805873173,0.023291935060983177,28,5.4
0.032377322095207925,0.04360551846680391,0.024018405970781833,29,5.6000000000000005
0.03335142833868216,0.045024804363703506,0.024670927791169923,30,5.800000000000001
0.0342139447708068,0.04632551848558365,0.02540984674585796,31,6
0.035106295034279006,0.04752073191924917,0.02615199426652804,32,6.2
0.03598387609502772,0.04851261595777989,0.026870872156116513,33,6.4
0.03690513978333893,0.04976838367604025,0.027538712506511707,34,6.6000000000000005
0.03777538336156289,0.051057457550152806,0.02815750683597663,35,6.800000000000001
0.03853587745139797,0.052150388874127235,0.028883578931849598,36,7
0.03945884825724978,0.05332978997728534,0.02949270172457038,37,7.2
0.04026600798589668,0.05436135925441456,0.030027448529508366,38,7.4
0.04105427118562231,0.05531692542500677,0.030544649678657075,39,7.6000000000000005
0.041824377248666264,0.05621455453377218,0.03109175366774116,40,7.800000000000001
0.042487484704227634,0.05712762173626018,0.03157900386574619,41,8
0.043103866745658796,0.05819494971501264,0.03208152253707272,42,8.200000000000001
0.04369155546984603,0.05948287837417161,0.032456930869348095,43,8.4
0.044307584507765986,0.060855043046980556,0.03284262951430075,44,8.6
0.0450324842443138,0.062225200598508223,0.03328756929124673,45,8.8
0.04558001464595576,0.06359335396465303,0.033572144773241275,46,9
