medest,high95_est,low95_est,rownum,age_seq
0,0,0,1,0
0.0033092693215397637,0.00635957230028873,0.00228747567934701,2,0.2
0.006466542361348452,0.012008389322996782,0.004509023516893439,3,0.4
0.009521929649135848,0.017060206472675345,0.006660025798529458,4,0.6000000000000001
0.012456361141724721,0.021650046503887427,0.008755291026470196,5,0.8
0.015273807286689714,0.02574487792468457,0.01078953322241342,6,1
0.017901395298425056,0.02953516624971862,0.01279228188078783,7,1.2000000000000002
0.020470163338950895,0.03310163279273119,0.01473707252033378,8,1.4000000000000001
0.022965099265955663,0.036266061214648634,0.016596454573539504,9,1.6
0.02527565705599811,0.03909227016740152,0.018434583406700386,10,1.8
0.027489142576032723,0.04172167612266668,0.020224718391867985,11,2
0.02958916215376131,0.04411295458651082,0.02194937957453444,12,2.2
0.031682925240185615,0.046183291217561026,0.023619891741646946,13,2.4000000000000004
0.03357236222562342,0.047981488918318535,0.02520622300259461,14,2.6
0.03547635822603338,0.049741947777065296,0.026700381040217783,15,2.8000000000000003
0.037234389458357,0.05131347712114866,0.02818408929134545,16,3
0.03894667249252498,0.05286139862694331,0.029565608517052606,17,3.2
0.040632014786479535,0.054299316590245714,0.03088722896480279,18,3.4000000000000004
0.04214322714725122,0.05613003613875332,0.03218870168778939,19,3.6
0.0436834326117902,0.057382782102715094,0.0334323597870142,20,3.8000000000000003
0.04502714042349815,0.05825347286772599,0.03457224200865016,21,4
0.046360678365678795,0.05999197442940775,0.03562405760242618,22,4.2
0.04760492907260957,0.06153602115829104,0.03685066728431771,23,4.4
0.04870309082324026,0.062406839474948045,0.03794532384098564,24,4.6000000000000005
0.04978661866147295,0.06303259608267271,0.03892303765889826,25,4.800000000000001
0.050544814430220415,0.06388572816878557,0.03978789112194328,26,5
0.051669225025334824,0.06528538415735542,0.040688587008889956,27,5.2
0.05253706086800461,0.06661839313020217,0.04130716299720221,28,5.4
0.05363523059528516,0.06768558180874645,0.04206628452568998,29,5.6000000000000005
0.05445928461296802,0.06920090476578696,0.042801014929075176,30,5.800000000000001
0.05528076503597748,0.07024487526879031,0.04362455213435543,31,6
0.055995718990795286,0.07173948196974954,0.044100361996475046,32,6.2
0.056718938002196254,0.0728694125344013,0.044351981826128706,33,6.4
0.05744269468771168,0.07369994667218845,0.04473876000802801,34,6.6000000000000005
0.05826243470650698,0.07482086342904107,0.045105282424503915,35,6.800000000000001
0.05905620960550077,0.07610088631705987,0.045639095466827234,36,7
0.05973385080890338,0.07702195910775843,0.04613286637558695,37,7.2
0.06044894088349355,0.07812664689895676,0.04632360274357753,38,7.4
0.060959391865375086,0.07906631606770573,0.046628779140927445,39,7.6000000000000005
0.0615855154319781,0.08005908554205848,0.046799670356218945,40,7.800000000000001
0.062163462945907286,0.08112349269721313,0.046959075448206565,41,8
0.06267980033908802,0.08226823296817423,0.04714824256085556,42,8.200000000000001
0.06314024898823378,0.08335722218304684,0.047270827570784324,43,8.4
0.06377125869929466,0.08432864920971081,0.047463802652878584,44,8.6
0.06413799923988299,0.08519635316665047,0.04755236614987526,45,8.8
0.06467080802545842,0.08615441709418759,0.047626103832197016,46,9
