medest,high95_est,low95_est,rownum,age_seq
0,0,0,1,0
0.0020066164626855853,0.0027425944488415448,0.0015103239249572428,2,0.2
0.003988600628453456,0.00541287298800675,0.003010550674713409,3,0.4
0.005954891322728174,0.008047868398426677,0.004500752477105713,4,0.6000000000000001
0.007912631460541115,0.010673525491535388,0.005981001013197217,5,0.8
0.009852464235166574,0.013271204685639183,0.007451367421595454,6,1
0.011753109062544703,0.01584120411547242,0.008914482381690928,7,1.2000000000000002
0.013633300123537882,0.018344899751822956,0.010368745907071729,8,1.4000000000000001
0.015547599732398283,0.020795199686696512,0.01180589714791812,9,1.6
0.017392058557770637,0.023210481055313703,0.01322817334266248,10,1.8
0.019253715407372925,0.025507250826930217,0.01462484621995753,11,2
0.02105312546648722,0.02767930979322214,0.016014472153252322,12,2.2
0.02285824850634016,0.02985968130188374,0.017401040768597657,13,2.4000000000000004
0.024644642379526085,0.03207280045237951,0.018782470859997753,14,2.6
0.026480776668323876,0.034341500512002826,0.02016795083336833,15,2.8000000000000003
0.02821687986540744,0.03642581097641104,0.02155484094511257,16,3
0.029888405078237607,0.03861000037727447,0.02291097018656213,17,3.2
0.0316119519277555,0.0407031357077703,0.02424173837608956,18,3.4000000000000004
0.03332126371149466,0.04279061275290878,0.025579956568190426,19,3.6
0.03498396157317608,0.04470120606861091,0.026823607779497383,20,3.8000000000000003
0.03657883080186264,0.0467540730544295,0.028118557760279037,21,4
0.03821223546594533,0.048852862418754715,0.029368985584802925,22,4.2
0.039839578120519505,0.05099857373386646,0.030576502106958635,23,4.4
0.04136827070206964,0.052965320626630084,0.031872011276033466,24,4.6000000000000005
0.04290106287330259,0.05499329758493114,0.033169315697201475,25,4.800000000000001
0.044396847595563865,0.05689214729670371,0.03440823898549984,26,5
0.04597332269786865,0.05870934055732112,0.03560040553747909,27,5.2
0.04746618093819538,0.060733161840279895,0.03676682953333767,28,5.4
0.049044728677795885,0.062751615231333,0.03779339725156023,29,5.6000000000000005
0.05056592682150929,0.06478848403374263,0.038921348211769624,30,5.800000000000001
0.05204680409104108,0.06668527824283427,0.040038003629128724,31,6
0.05354792396395017,0.06860066179821542,0.041177305933677966,32,6.2
0.05499135109452084,0.0707017877869427,0.04233581815367275,33,6.4
0.056221110030637185,0.07275452869529636,0.04353876956949784,34,6.6000000000000005
0.05757489581416653,0.07453465741018073,0.04475609419340873,35,6.800000000000001
0.0589680507909629,0.07634914563467245,0.045917168369752265,36,7
0.060340134611644565,0.07811049670571833,0.04687184040771371,37,7.2
0.06165346689796379,0.07991675200777609,0.04784094594783652,38,7.4
0.06309575340515,0.0816786093731213,0.048931840802647716,39,7.6000000000000005
0.0644570892870738,0.08330256793873742,0.049960869692427315,40,7.800000000000001
0.06568583448601949,0.0849044968506227,0.0509299069687461,41,8
0.06699785763816844,0.08660473846971617,0.051724299390219525,42,8.200000000000001
0.06838570338925665,0.08834800570273486,0.05248057629572089,43,8.4
0.06965265802325901,0.0900759734339126,0.05337516676815598,44,8.6
0.07088104943146145,0.0917887836300652,0.05422048949380877,45,8.8
0.07207798098213128,0.09352096072962517,0.054984751280724706,46,9
