medest,high95_est,low95_est,rownum,age_seq
0,0,0,1,0
0.0027113436315210886,0.004105359677692438,0.0018774435171120178,2,0.2
0.005347558087379736,0.008019669339172794,0.0037289487721562818,3,0.4
0.007923372445768998,0.011725993818139862,0.0055564682456905904,4,0.6000000000000001
0.010396871704206872,0.015242470128173178,0.007365662880135149,5,0.8
0.0128437827249839,0.01853459968737704,0.00914407545235961,6,1
0.015209922647729426,0.021637273178414358,0.01093611978588209,7,1.2000000000000002
0.01752136915620939,0.024605375796172724,0.01269365779997521,8,1.4000000000000001
0.019776075723119305,0.027435400418877404,0.014442055549800546,9,1.6
0.021964618672616384,0.030163485077026007,0.016168943084514976,10,1.8
0.024073914351350183,0.03281799390771894,0.017875541096198603,11,2
0.026168447704085534,0.03522207143931473,0.019545553284331562,12,2.2
0.028134776424774022,0.03754134159961937,0.02115342239533126,13,2.4000000000000004
0.030099403027582423,0.039794381892761556,0.022709089142750598,14,2.6
0.032103637001942034,0.04204550413343984,0.0242357379716198,15,2.8000000000000003
0.03393699738874031,0.04420432074105857,0.0257300973494757,16,3
0.03567266910991151,0.046401527900376494,0.027224688668951478,17,3.2
0.03746457273489682,0.048335455275924775,0.02866907016215755,18,3.4000000000000004
0.039307127459002805,0.050203515389721384,0.030233217552331826,19,3.6
0.04100998646614611,0.05220910436695067,0.031607787481809785,20,3.8000000000000003
0.042686495020046,0.053836343034024035,0.03292393103716916,21,4
0.044182492833577065,0.05558463153660759,0.03430231371964694,22,4.2
0.04567634297982659,0.057168700036281356,0.035658262628251565,23,4.4
0.047275790939734136,0.058945407258797294,0.03691829635800074,24,4.6000000000000005
0.04876120785872821,0.06075218126794084,0.038292787001811365,25,4.800000000000001
0.050109881355130115,0.06250143748237039,0.03957511971434591,26,5
0.05149999542686168,0.06414044411799465,0.04072628560053597,27,5.2
0.05278351370478139,0.0654018268799299,0.041861180386761725,28,5.4
0.05400844326747339,0.0668466512380835,0.04307223702317324,29,5.6000000000000005
0.05530377638655948,0.06832747775433425,0.04389253676243429,30,5.800000000000001
0.05639794116827974,0.07018629827642975,0.04492116880623456,31,6
0.05757702297224643,0.07172374311314166,0.046026833027903995,32,6.2
0.05873616380172328,0.07321146741816414,0.0469331664761293,33,6.4
0.05989717441013684,0.07494128758892572,0.047858135269980624,34,6.6000000000000005
0.06093643554117901,0.07676128316476502,0.048837951901667356,35,6.800000000000001
0.06188899471690463,0.0786673117687444,0.04972120521491355,36,7
0.06295840781831519,0.08033863634622049,0.05040853242742652,37,7.2
0.06387404959396548,0.08174401197028244,0.0509897589846266,38,7.4
0.06490293866663953,0.08299167919990624,0.051568659184455024,39,7.6000000000000005
0.06583516869957352,0.08408392808290657,0.05208352948120017,40,7.800000000000001
0.06690174582739525,0.08536426869516758,0.05265222941558802,41,8
0.06791101810491874,0.08691375690019894,0.05316181476489172,42,8.200000000000001
0.0687710963530455,0.08849310442754915,0.05365108279622446,43,8.4
0.06957382704448517,0.09006852324990966,0.054082743431931896,44,8.6
0.0704172281483443,0.0916979783341638,0.0544311638495373,45,8.8
0.07117130658329378,0.09330962415262953,0.05481090993661116,46,9
