medest,high95_est,low95_est,rownum,age_seq
0,0,0,1,0
0.003334254069302786,0.006931247679634445,0.0019320080551019718,2,0.2
0.0065152250749075085,0.013025407055533697,0.0038472548240366064,3,0.4
0.009613690080741612,0.01835609502249047,0.005745907180532745,4,0.6000000000000001
0.012555254152873199,0.02312700669052882,0.007612423349415254,5,0.8
0.015344180641636881,0.027502469202193708,0.009439801011333283,6,1
0.017958443824534483,0.03117249051889317,0.011237925094737283,7,1.2000000000000002
0.02044053531938051,0.03440806832205673,0.013007297940482526,8,1.4000000000000001
0.022728630436810084,0.03751889110466004,0.014748412744572215,9,1.6
0.02509800835524921,0.04002567172709619,0.016461753732003783,10,1.8
0.027306633571816216,0.042400508691380415,0.018147796327211477,11,2
0.029466044667024203,0.04433163424360956,0.019807007321173322,12,2.2
0.03150217471435404,0.04622760245236032,0.021467618503191427,13,2.4000000000000004
0.03341497504437681,0.04798852441254209,0.02316386218740129,14,2.6
0.03525723053617549,0.049985111219748045,0.024846421795501603,15,2.8000000000000003
0.03695411340273848,0.051982481339458486,0.02651550154109357,16,3
0.038642146212800266,0.05329281548076362,0.028171235692657823,17,3.2
0.040204116861847515,0.05467363937409651,0.02985444418484795,18,3.4000000000000004
0.041726615762388605,0.05623368171056528,0.03133476011229615,19,3.6
0.04325554944595655,0.057712243129244216,0.03286034881166458,20,3.8000000000000003
0.04461159846780863,0.05884420505680743,0.034146353460705006,21,4
0.04597744486701415,0.05980044425512061,0.035567748567422626,22,4.2
0.04717409260535731,0.060868470823591224,0.03677828079047986,23,4.4
0.04841236392825195,0.06186501569376654,0.037848660324844276,24,4.6000000000000005
0.049687590183278174,0.06277872869271757,0.03860735399441084,25,4.800000000000001
0.05087855412530032,0.06420205287201504,0.04011713868758886,26,5
0.05196490696325681,0.06529707596908065,0.04093650799362983,27,5.2
0.053267867883658705,0.06646655380542438,0.04202508590668064,28,5.4
0.05425394625315351,0.06794131091120828,0.04284246453603636,29,5.6000000000000005
0.055323900061922164,0.06891809604042352,0.04346805975919113,30,5.800000000000001
0.05628637707311748,0.07013995723266411,0.04392703492452435,31,6
0.05726797914034944,0.07163290354251083,0.044586634453048196,32,6.2
0.05817228235975064,0.07276731263380783,0.045122264963817715,33,6.4
0.05901574517484808,0.07390347303975739,0.04547631713671321,34,6.6000000000000005
0.059686589801032565,0.07525764418246614,0.04564129900835408,35,6.800000000000001
0.06034111421892406,0.07676771015198322,0.045789420665662293,36,7
0.06095846171787673,0.07826531933910486,0.04591930966263032,37,7.2
0.06172312425676159,0.0796916212842882,0.046130876518911734,38,7.4
0.06238642660874023,0.08082834399608882,0.046273314213848296,39,7.6000000000000005
0.06317074311285809,0.08200099049872472,0.04649335371003907,40,7.800000000000001
0.06383480385539518,0.08347193410337447,0.04658209947886209,41,8
0.06449889999555844,0.08515094979945464,0.04666278278480425,42,8.200000000000001
0.06509222614973817,0.08642243745000146,0.046736156966102574,43,8.4
0.06553989034517593,0.08797966854402237,0.04680290275580548,44,8.6
0.06610175743781399,0.08952304072818076,0.04686363550785934,45,8.8
0.06666973783403518,0.09104756568414518,0.04691891168115038,46,9
