medest,high95_est,low95_est,rownum,age_seq
0,0,0,1,0
0.0022109033583470666,0.0032717116021106487,0.0015778331062762888,2,0.2
0.00437746803258287,0.006408291223378347,0.003143054833031328,3,0.4
0.006507309197312372,0.009414200104551122,0.004706538545447142,4,0.6000000000000001
0.00860170041216625,0.01231515951451935,0.006256196751624721,5,0.8
0.010628085209744929,0.015116109957233989,0.007766039596079782,6,1
0.012612194727130464,0.017727264506226546,0.009270772789746428,7,1.2000000000000002
0.014580788868793713,0.020131765988007824,0.010781834371011528,8,1.4000000000000001
0.01652360364704923,0.022704440348857623,0.012295790154308584,9,1.6
0.018414466047370175,0.025172759271908894,0.013803260161499787,10,1.8
0.020223531075924103,0.027547157285694113,0.015304274287422063,11,2
0.02203089839935489,0.02985077624620884,0.016766932349192104,12,2.2
0.02387732550445812,0.03203038013707412,0.01817886783843045,13,2.4000000000000004
0.025616113533141152,0.03409625154922759,0.019552687698147796,14,2.6
0.027270079394960532,0.03611638242493373,0.02086385292770041,15,2.8000000000000003
0.028926839546610295,0.03809362410585238,0.022181462504946948,16,3
0.030563932418372984,0.040047329707007764,0.02349624057927977,17,3.2
0.03209204670504638,0.04192554576021025,0.024854409521359606,18,3.4000000000000004
0.03358902601156105,0.043720313262561386,0.026255567065454136,19,3.6
0.03521428854736165,0.04543077237401419,0.027588430150457408,20,3.8000000000000003
0.036762196496671125,0.04714609102698422,0.02889287972968307,21,4
0.0382114995798801,0.048828287069191456,0.030199815026908425,22,4.2
0.03972044781189929,0.05051356765846517,0.031365113355055,23,4.4
0.04119351268398276,0.0520721432778322,0.03252357757069291,24,4.6000000000000005
0.04254353831570741,0.053587249357864256,0.03368119095615482,25,4.800000000000001
0.04398757339910463,0.0549976054908692,0.03476108486278995,26,5
0.045379780429709964,0.056467185187508914,0.03579432134940096,27,5.2
0.04672277438688727,0.05806394952613361,0.036870489469068596,28,5.4
0.04795570487111969,0.05992219562466593,0.03781982364249824,29,5.6000000000000005
0.04938752776715214,0.06163155474004912,0.03882728065690684,30,5.800000000000001
0.05068658837946895,0.06319699384125085,0.03981587739045789,31,6
0.05194783771580891,0.0644993246619034,0.040747452922330174,32,6.2
0.05332140495204424,0.06595827667609308,0.04152828853374897,33,6.4
0.05454518923477299,0.0674093439789839,0.042717532696497966,34,6.6000000000000005
0.05582308065041464,0.06885465697763023,0.04340575659834934,35,6.800000000000001
0.05705242763169393,0.07041677974847291,0.0440254113507352,36,7
0.05808300779139509,0.07192428886388624,0.04462202199650561,37,7.2
0.05917421758622638,0.07324513093939536,0.045196567535985624,38,7.4
0.06017885846076786,0.07445929622668507,0.04588117075418653,39,7.6000000000000005
0.061181332183337406,0.07564879424906436,0.04657129097538342,40,7.800000000000001
0.062308882288854034,0.07691978909787046,0.04721591116367789,41,8
0.06329138633011712,0.07853993751488234,0.04781304500021979,42,8.200000000000001
0.06422354677914796,0.07995660294994256,0.04833455685657184,43,8.4
0.0651763005688554,0.08151847900866314,0.048857591090020996,44,8.6
0.06610144577159152,0.08306646456308131,0.049277034831064166,45,8.8
0.06708606538290492,0.08449637935049152,0.049550144976393935,46,9
